id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2204088-88,2024-09-09,,107283,Gleisi Hoffmann,PT,PR,Sim
2204088-88,2024-09-09,,160518,Weliton Prado,SOLIDARIEDADE,MG,Sim
2204088-88,2024-09-09,,220657,André Fernandes,PL,CE,Sim
2204088-88,2024-09-09,,141470,José Guimarães,PT,CE,Sim
2204088-88,2024-09-09,,160674,Hugo Motta,REPUBLICANOS,PB,Sim
2204088-88,2024-09-09,,74467,Damião Feliciano,UNIÃO,PB,Sim
2204088-88,2024-09-09,,74159,Odair Cunha,PT,MG,Sim
2204088-88,2024-09-09,,74585,Lincoln Portela,PL,MG,Sim
2204088-88,2024-09-09,,81055,Márcio Jerry,PCdoB,MA,Sim
2204088-88,2024-09-09,,204365,Gilson Marques,NOVO,SC,Sim
2204088-88,2024-09-09,,220569,Silvye Alves,UNIÃO,GO,Sim
2204088-88,2024-09-09,,220614,Dr. Daniel Soranz,PSD,RJ,Sim
2204088-88,2024-09-09,,74398,Maria do Rosário,PT,RS,Sim
2204088-88,2024-09-09,,74454,Eunício Oliveira,MDB,CE,Sim
2204088-88,2024-09-09,,141456,Jilmar Tatto,PT,SP,Sim
2204088-88,2024-09-09,,220590,Coronel Ulysses,UNIÃO,AC,Sim
2204088-88,2024-09-09,,139285,Lídice da Mata,PSB,BA,Sim
2204088-88,2024-09-09,,160666,Félix Mendonça Júnior,PDT,BA,Sim
2204088-88,2024-09-09,,228941,Daniel José,PODE,SP,Sim
2204088-88,2024-09-09,,220597,Thiago Flores,REPUBLICANOS,RO,Sim
2204088-88,2024-09-09,,204524,Pinheirinho,PP,MG,Sim
2204088-88,2024-09-09,,209787,Nikolas Ferreira,PL,MG,Sim
2204088-88,2024-09-09,,141555,Vinicius Carvalho,REPUBLICANOS,SP,Sim
2204088-88,2024-09-09,,220715,Amom Mandel,CIDADANIA,AM,Sim
2204088-88,2024-09-09,,178943,Marcos Soares,UNIÃO,RJ,Sim
2204088-88,2024-09-09,,178970,João Daniel,PT,SE,Sim
2204088-88,2024-09-09,,221338,Professora Luciene Cavalcante,PSOL,SP,Sim
2204088-88,2024-09-09,,74079,José Priante,MDB,PA,Sim
2204088-88,2024-09-09,,122158,Pedro Paulo,PSD,RJ,Sim
2204088-88,2024-09-09,,178933,Sergio Souza,MDB,PR,Sim
2204088-88,2024-09-09,,179001,Márcio Biolchi,MDB,RS,Sim
2204088-88,2024-09-09,,204498,Olival Marques,MDB,PA,Sim
2204088-88,2024-09-09,,204574,Junior Lourenço,PL,MA,Sim
2204088-88,2024-09-09,,160575,Erika Kokay,PT,DF,Sim
2204088-88,2024-09-09,,220622,Nely Aquino,PODE,MG,Sim
2204088-88,2024-09-09,,229333,Gláucia Santiago,PL,MG,Sim
2204088-88,2024-09-09,,92102,Leur Lomanto Júnior,UNIÃO,BA,Sim
2204088-88,2024-09-09,,204534,Tabata Amaral,PSB,SP,Sim
